case_id,booking_id,guest_id,room_id,source_channel,complaint_created_at,complaint_text,complaint_category,sentiment,urgency,photo_attached,photo_caption,audio_attached,transcript_available,claimed_issue,expected_evidence_source,evidence_strength,recommended_demo_case,ground_truth_resolution_hint,notes
CASE-000001,BKG-000027,GST-000027,RM-540,phone,2021-09-23T22:45:00,"Hi, I'm calling because this room has been a mess from the start. The bathroom was not properly cleaned, there was trash left behind, and the AC kept blowing warm air overnight. I have a photo and I need a manager to review this because we barely slept.",multiple_issues,angry,urgent,true,dirty bathroom sink and AC control panel showing error,true,true,multiple room defects,maintenance_logs; housekeeping_logs; booking_records; policy_pdfs,strong,true,likely_partial_refund,"Recommended demo: requires maintenance, housekeeping, booking, and policy review."
CASE-000002,BKG-000039,GST-000039,RM-434,email,2021-12-24T14:00:00,"I want to flag that the room did not feel fully ready when I arrived. The floor looked like it needed another pass and a few details felt rushed. I am not asking for a full refund, but I do think someone should review what happened.",dirty_room,frustrated,medium,false,,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,conflicting,true,manager_review,Recommended demo: plausible complaint with weak or conflicting operational evidence.
CASE-000003,BKG-000095,GST-000095,RM-220,review_site,2023-01-12T20:50:00,"Posting this because the room felt noisy and disappointing overall. I do not have photos, but I expected a quieter stay and would appreciate some acknowledgment from the hotel.",noise,calm,medium,false,,false,false,noise disturbance,booking_records; policy_pdfs,none,true,apology_only,"Recommended demo: limited evidence, useful for apology-only or small voucher flow."
CASE-000004,BKG-006777,GST-006777,RM-104,phone,2023-11-05T20:10:00,"I'm calling because the air conditioning in RM-104 never cooled the room properly, even after we adjusted the thermostat. Can you please have a manager review the records?",broken_ac,frustrated,high,false,,true,true,air conditioning failure,maintenance_logs; policy_pdfs,strong,false,maintenance_escalation,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000005,BKG-008350,GST-008350,RM-133,review_site,2023-10-06T09:05:00,"I expected better from this stay. The air conditioning in RM-133 never cooled the room properly, even after we adjusted the thermostat. I hope management takes this seriously.",broken_ac,angry,urgent,true,thermostat display stuck above set temperature,false,false,air conditioning failure,maintenance_logs; policy_pdfs,strong,false,maintenance_escalation,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000006,BKG-008704,GST-008704,RM-503,web_form,2022-09-08T16:10:00,"Please review this stay concern: The air conditioning in RM-503 never cooled the room properly, even after we adjusted the thermostat. Please review the operational records and respond.",broken_ac,angry,high,true,AC control panel showing error code,false,false,air conditioning failure,maintenance_logs; policy_pdfs,strong,false,maintenance_escalation,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000007,BKG-005910,GST-005910,RM-407,phone,2023-04-29T18:50:00,"Hi, I need help with this: RM-407 stayed warm for hours and the AC only seemed to blow weak air. I need someone to look into what happened.",broken_ac,frustrated,urgent,false,,true,true,air conditioning failure,maintenance_logs; policy_pdfs,strong,false,likely_partial_refund,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000008,BKG-001686,GST-001686,RM-119,email,2022-04-16T16:50:00,"Hello guest relations, the air conditioning in RM-119 never cooled the room properly, even after we adjusted the thermostat. Please review the relevant records and let me know what resolution is appropriate.",broken_ac,angry,high,true,AC control panel showing error code,false,false,air conditioning failure,maintenance_logs; policy_pdfs,strong,false,maintenance_escalation,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000009,BKG-007960,GST-007960,RM-339,phone,2021-05-26T08:00:00,"Look, I want someone to review this because the cooling problem in RM-339 made it hard to sleep comfortably. Please check the logs and follow up with me.",broken_ac,frustrated,urgent,false,,true,true,air conditioning failure,maintenance_logs; policy_pdfs,strong,false,manager_review,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000010,BKG-002539,GST-002539,RM-530,phone,2022-06-05T11:15:00,I wanted to speak with someone because the thermostat in RM-530 did not bring the temperature down during the stay. Can you please have a manager review the records?,broken_ac,angry,medium,false,,true,true,air conditioning failure,maintenance_logs; policy_pdfs,medium,false,housekeeping_review,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000011,BKG-009666,GST-009666,RM-219,phone,2021-11-02T10:50:00,"I'm calling because the air conditioning in RM-219 never cooled the room properly, even after we adjusted the thermostat. I need someone to look into what happened.",broken_ac,frustrated,high,true,AC control panel showing error code,true,true,air conditioning failure,maintenance_logs; policy_pdfs,strong,false,maintenance_escalation,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000012,BKG-009826,GST-009826,RM-409,chat,2021-12-02T10:20:00,"Can someone check this for me? the air conditioning in RM-409 never cooled the room properly, even after we adjusted the thermostat. Can you check the logs and tell me what happened?",broken_ac,angry,high,true,thermostat display stuck above set temperature,false,false,air conditioning failure,maintenance_logs; policy_pdfs,strong,false,likely_partial_refund,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000013,BKG-003676,GST-003676,RM-439,review_site,2021-04-09T14:15:00,I expected better from this stay. The bathroom plumbing in RM-439 caused a real inconvenience during the stay. I hope management takes this seriously.,plumbing,angry,urgent,false,,false,false,bathroom plumbing issue,maintenance_logs; policy_pdfs,strong,false,maintenance_escalation,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000014,BKG-003072,GST-003072,RM-519,chat,2022-05-23T08:30:00,Can someone check this for me? the bathroom plumbing in RM-519 caused a real inconvenience during the stay. Can you check the logs and tell me what happened?,plumbing,angry,high,false,,false,false,bathroom plumbing issue,maintenance_logs; policy_pdfs,strong,false,maintenance_escalation,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000015,BKG-006201,GST-006201,RM-140,email,2021-04-26T22:50:00,"Hello guest relations, the bathroom plumbing in RM-140 caused a real inconvenience during the stay. Please review the relevant records and let me know what resolution is appropriate.",plumbing,frustrated,high,true,wet bathroom floor near shower,false,false,bathroom plumbing issue,maintenance_logs; policy_pdfs,strong,false,manager_review,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000016,BKG-006442,GST-006442,RM-221,phone,2022-02-06T20:30:00,I'm calling because the bathroom plumbing in RM-221 caused a real inconvenience during the stay. Can you please have a manager review the records?,plumbing,disappointed,high,true,leaking sink with water pooled below pipe,true,true,bathroom plumbing issue,maintenance_logs; policy_pdfs,medium,false,manager_review,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000017,BKG-009919,GST-009919,RM-436,phone,2023-04-12T22:05:00,"Hi, I need help with this: There was a leak or drain issue in RM-436 that made the bathroom difficult to use. I need someone to look into what happened.",plumbing,frustrated,high,true,leaking sink with water pooled below pipe,true,true,bathroom plumbing issue,maintenance_logs; policy_pdfs,strong,false,maintenance_escalation,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000018,BKG-004255,GST-004255,RM-512,chat,2023-06-26T22:05:00,I need help reviewing this: There was a leak or drain issue in RM-512 that made the bathroom difficult to use. Please help me get this reviewed.,plumbing,angry,high,true,wet bathroom floor near shower,false,false,bathroom plumbing issue,maintenance_logs; policy_pdfs,strong,false,manager_review,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000019,BKG-005328,GST-005328,RM-325,review_site,2023-08-02T18:30:00,This was disappointing for a hotel at this level. There was a leak or drain issue in RM-325 that made the bathroom difficult to use. Guests should not have to chase down basic follow-up.,plumbing,frustrated,urgent,false,,false,false,bathroom plumbing issue,maintenance_logs; policy_pdfs,strong,false,manager_review,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
