housekeeping_log_id,booking_id,guest_id,room_id,service_date,cleaning_start_time,cleaning_end_time,cleaning_duration_minutes,attendant_id,inspector_id,inspection_status,room_ready_status,issues_found,issue_severity,bathroom_status,linen_status,floor_status,minibar_status,notes
HK-000001,BKG-002379,GST-002379,RM-340,2021-01-01,11:30,12:02,32,ATT-036,INS-009,passed_with_notes,ready,minibar not restocked,minor,clean,fresh,vacuumed,needs restock,pre arrival passed with minor note: minibar not restocked.
HK-000002,BKG-002964,GST-002964,RM-231,2021-01-02,11:35,12:08,33,ATT-002,INS-001,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000003,BKG-009758,GST-009758,RM-429,2021-01-02,13:50,14:22,32,ATT-025,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000004,BKG-002379,GST-002379,RM-340,2021-01-02,14:25,14:55,30,ATT-022,INS-003,follow_up_required,ready_after_follow_up,amenity tray incomplete,minor,clean,fresh,vacuumed,stocked,daily service required follow-up for amenity tray incomplete; room release delayed pending correction.
HK-000005,BKG-004079,GST-004079,RM-502,2021-01-03,08:40,09:17,37,ATT-021,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000006,BKG-002964,GST-002964,RM-231,2021-01-03,10:35,10:58,23,ATT-021,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000007,BKG-008269,GST-008269,RM-442,2021-01-03,12:30,13:07,37,ATT-001,INS-007,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000008,BKG-002379,GST-002379,RM-340,2021-01-03,13:15,13:45,30,ATT-020,INS-010,passed_with_notes,ready,missing towels,minor,missing towels,fresh,vacuumed,stocked,daily service passed with minor note: missing towels.
HK-000009,BKG-005829,GST-005829,RM-116,2021-01-03,14:15,15:10,55,ATT-007,INS-007,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000010,BKG-009758,GST-009758,RM-429,2021-01-03,16:30,16:52,22,ATT-006,INS-001,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000011,BKG-009758,GST-009758,RM-429,2021-01-04,09:20,10:04,44,ATT-002,INS-008,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000012,BKG-004079,GST-004079,RM-502,2021-01-04,13:40,14:13,33,ATT-009,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000013,BKG-002379,GST-002379,RM-340,2021-01-04,14:05,14:50,45,ATT-008,INS-009,passed_with_notes,ready,missing towels,minor,missing towels,fresh,vacuumed,stocked,daily service passed with minor note: missing towels.
HK-000014,BKG-002964,GST-002964,RM-231,2021-01-04,14:25,14:59,34,ATT-034,INS-007,follow_up_required,ready_after_follow_up,minibar not restocked,minor,clean,fresh,vacuumed,needs restock,daily service required follow-up for minibar not restocked; room release delayed pending correction.
HK-000015,BKG-005829,GST-005829,RM-116,2021-01-04,15:35,16:23,48,ATT-017,INS-007,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000016,BKG-002379,GST-002379,RM-340,2021-01-05,11:00,11:56,56,ATT-036,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
