maintenance_ticket_id,booking_id,guest_id,room_id,reported_date,reported_time,issue_type,issue_category,priority,status,technician_id,first_response_minutes,resolution_minutes,repeat_issue_flag,guest_impact,room_blocked,notes
MNT-000001,BKG-004079,GST-004079,RM-502,2021-01-04,23:00,toilet running,plumbing,high,resolved,TECH-007,31,285,false,moderate,false,Drain was slow and required snaking; resolved and room returned to service.
MNT-000002,BKG-005829,GST-005829,RM-116,2021-01-07,01:20,slow drain,plumbing,high,resolved,TECH-003,15,204,false,significant,false,Drain was slow and required snaking; resolved and room returned to service.
MNT-000003,BKG-006428,GST-006428,RM-435,2021-01-13,22:15,shower pressure,plumbing,urgent,pending_parts,TECH-001,4,,false,severe,true,Drain was slow and required snaking; parts ordered; temporary workaround noted; room blocked pending supervisor inspection.
MNT-000004,BKG-002103,GST-002103,RM-110,2021-01-20,20:20,router reset,wifi,medium,resolved,TECH-004,43,48,false,minor,false,Login portal failed for guest device; resolved and room returned to service.
MNT-000005,BKG-008538,GST-008538,RM-337,2021-01-28,20:12,weak Wi-Fi signal,wifi,medium,resolved,TECH-007,55,60,false,minor,false,Login portal failed for guest device; resolved and room returned to service.
MNT-000006,BKG-008498,GST-008498,RM-429,2021-02-14,10:12,router reset,wifi,low,resolved,TECH-017,125,130,false,none,false,Login portal failed for guest device; resolved and room returned to service.
MNT-000007,BKG-003354,GST-003354,RM-525,2021-02-22,18:50,door latch adjustment,door_lock,medium,resolved,TECH-015,45,95,false,moderate,false,door latch adjustment; resolved and room returned to service.
MNT-000008,BKG-006815,GST-006815,RM-220,2021-02-27,11:30,fan coil noise,air_conditioning,medium,resolved,TECH-009,16,657,false,minor,false,Fan coil produced intermittent cooling; resolved and room returned to service.
MNT-000009,BKG-004259,GST-004259,RM-138,2021-03-09,12:25,deadbolt sticking,door_lock,medium,resolved,TECH-005,70,172,false,minor,false,key card reader fault; resolved and room returned to service.
MNT-000010,BKG-005492,GST-005492,RM-441,2021-03-13,14:20,no signal,television,low,resolved,TECH-014,144,149,false,minor,false,Guest reported no TV signal; resolved and room returned to service.
MNT-000011,BKG-000423,GST-000423,RM-310,2021-03-14,13:45,screen flicker,television,low,resolved,TECH-018,177,182,false,minor,false,TV remote was unresponsive; resolved and room returned to service.
MNT-000012,BKG-001393,GST-001393,RM-436,2021-04-07,21:45,AC not cooling,air_conditioning,high,open,TECH-002,33,,false,moderate,false,Fan coil produced intermittent cooling; open follow-up at time of review.
