booking_id,guest_id,property_id,hotel_name,arrival_date,departure_date,stay_nights,lead_time_days,adults,children,babies,meal_plan,country,market_segment,distribution_channel,repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,average_daily_rate,required_car_parking_spaces,special_requests
BKG-000006,GST-000006,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-11-15,2023-11-21,6,88,1,1,0,BB,France,Online TA,Direct,false,0,2,B,C,1,Refundable,3,Transient,104.03,0,0
BKG-000027,GST-000027,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-09-23,2021-09-25,2,42,1,0,1,FB,Portugal,Groups,Tour Operator,true,1,0,A,E,0,Non Refundable,5,Contract,73.17,2,0
BKG-000031,GST-000031,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-08-10,2023-08-14,4,70,2,1,0,SC,Germany,Offline TA/TO,Tour Operator,true,2,3,C,D,0,No Deposit,1,Transient,89.58,0,3
BKG-000032,GST-000032,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-12-27,2023-01-03,7,193,3,2,0,BB,France,Offline TA/TO,Tour Operator,true,0,0,A,B,0,Refundable,0,Contract,103.56,2,1
BKG-000039,GST-000039,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-12-24,2021-12-27,3,34,1,1,0,HB,France,Offline TA/TO,Tour Operator,false,1,1,D,D,0,Refundable,0,Transient,110.83,2,2
BKG-000067,GST-000067,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-12-09,2022-12-13,4,96,1,1,1,HB,Germany,Online TA,Direct,true,0,1,A,E,0,Non Refundable,1,Transient,97.27,2,0
BKG-000090,GST-000090,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-05-27,2022-06-01,5,126,3,1,0,BB,Spain,Offline TA/TO,Travel Agent,false,0,1,E,D,0,No Deposit,1,Contract,120.26,1,3
BKG-000093,GST-000093,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-01-10,2022-01-19,9,65,1,2,0,SC,France,Online TA,Tour Operator,true,2,0,B,B,1,Non Refundable,0,Transient-Party,88.61,1,0
BKG-000095,GST-000095,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-01-07,2023-01-13,6,80,1,2,0,HB,Portugal,Online TA,Tour Operator,false,1,2,B,B,0,No Deposit,3,Contract,87.94,2,0
BKG-000122,GST-000122,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-04-16,2022-04-21,5,55,2,1,1,SC,Germany,Online TA,Direct,true,2,2,B,D,0,Non Refundable,1,Transient,96.20,0,0
BKG-000135,GST-000135,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-01-21,2021-01-27,6,54,2,2,0,SC,Spain,Offline TA/TO,Direct,false,0,1,E,C,0,No Deposit,2,Transient-Party,95.39,1,0
BKG-000141,GST-000141,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-01-21,2021-01-26,5,111,3,2,0,FB,Germany,Groups,Travel Agent,false,0,0,D,C,0,No Deposit,0,Contract,100.07,0,0
BKG-000155,GST-000155,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-07-13,2023-07-15,2,115,2,2,1,FB,Germany,Online TA,Travel Agent,false,1,3,C,E,2,Refundable,1,Contract,95.96,1,2
BKG-000180,GST-000180,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-08-18,2021-08-21,3,236,3,2,0,SC,Spain,Groups,Tour Operator,false,1,0,B,C,0,No Deposit,1,Transient-Party,90.28,1,3
